,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
667,40,200,2.0,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,1.0,0.0,22
668,40,290,5.0,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,1.0,0.0,23
670,40,141,5.0,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,0.0,1.0,25
671,40,92,1.0,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,0.0,1.0,26
672,40,267,2.0,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0.0,1.0,27
673,40,313,2.0,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,0.0,1.0,28
677,140,203,7.0,John built a big green boat for his unemployed sick younger brother with cancer.,John built his unemployed sick younger brother with cancer a big green boat.,0.0,1.0,5
678,140,182,6.0,John cooked a grand celebratory feast of pie with chicken for his sick disabled mother in Miami with Alzheimers.,John cooked his sick disabled mother in Miami with Alzheimers a grand celebratory feast of pie with chicken.,0.0,1.0,6
679,140,267,3.0,Janet argued about the catastrophic failing project in the data with her new team.,Janet argued with her new team about the catastrophic failing project in the data.,0.0,1.0,7
680,140,78,5.0,Melissa baked over the weekend fresh vegan blueberry muffins with white frosting with egg substitute.,Melissa baked fresh vegan blueberry muffins with white frosting with egg substitute over the weekend.,0.0,1.0,8
682,140,66,2.0,Melissa met after the party the tall mysterious man with the axe from the forest.,Melissa met the tall mysterious man with the axe from the forest after the party.,1.0,0.0,10
683,140,235,1.0,John constructed an assistant app for helping disabled people for the homeless citizens in a city in the Midwest.,John constructed the homeless citizens in a city in the Midwest an assistant app for helping disabled people.,1.0,0.0,11
684,140,313,1.0,Janet drove with a large rented van with space to the warm surfing beach on the coast.,Janet drove to the warm surfing beach on the coast with a large rented van with space.,1.0,0.0,12
685,140,156,1.0,John mailed a short notice message about his travel in Europe for his work to his large family from the farms in the plains in Kansas.,John mailed his large family from the farms in the plains in Kansas a short notice message about his travel in Europe for his work.,1.0,0.0,13
687,140,290,4.0,Janet went with a cheap van with space to the annual auction event of the metropolis.,Janet went to the annual auction event of the metropolis with a cheap van with space.,0.0,1.0,15
688,140,402,6.0,John worked out the ambitious plan.,John worked the ambitious plan out.,0.0,1.0,16
689,140,200,7.0,John showed his expensive tailored silk outfit from the designer for the gala for the evening to the crowded tour group with maps from America.,John showed the crowded tour group with maps from America his expensive tailored silk outfit from the designer for the gala for the evening.,0.0,1.0,17
690,140,9,7.0,Melissa made in her kitchen a wrapped present with red ribbon in a white box.,Melissa made a wrapped present with red ribbon in a white box in her kitchen.,0.0,1.0,18
692,140,108,7.0,Melissa baked in her kitchen a multilevel blue sponge cake with her name in green frosting.,Melissa baked a multilevel blue sponge cake with her name in green frosting in her kitchen.,1.0,0.0,20
693,140,92,1.0,Melissa took at the college fascinating courses on astronomy.,Melissa took fascinating courses on astronomy at the college.,1.0,0.0,21
694,140,141,4.0,John showed his expensive tailored outfit from the designer to his tall sister in college for biology in Arkansas.,John showed his tall sister in college for biology in Arkansas his expensive tailored outfit from the designer.,1.0,0.0,22
695,140,112,3.0,Melissa saw at the park the man with the axe from the forest.,Melissa saw the man with the axe from the forest at the park.,1.0,0.0,23
697,140,292,7.0,Janet talked about her boss to tall skinny Michael.,Janet talked to tall skinny Michael about her boss.,0.0,1.0,25
698,140,441,7.0,John worked out the foolproof plan for the next season.,John worked the foolproof plan for the next season out.,0.0,1.0,26
699,140,2,2.0,Melissa prepared in her kitchen vegan blueberry muffins with white frosting with egg substitute.,Melissa prepared vegan blueberry muffins with white frosting with egg substitute in her kitchen.,0.0,1.0,27
700,140,38,2.0,Melissa gave to the team a large check from the hosts.,Melissa gave a large check from the hosts to the team.,0.0,1.0,28
704,105,370,7.0,Janet ate inside the American restaurant on main street with the attractive man from her gym.,Janet ate with the attractive man from her gym inside the American restaurant on main street.,0.0,1.0,5
705,105,377,7.0,John kept up the joke about his role for the play.,John kept the joke about his role for the play up.,0.0,1.0,6
706,105,303,1.0,Janet drove with a cheap van with space to the warm surfing beach in the countryside by her mother's home.,Janet drove to the warm surfing beach in the countryside by her mother's home with a cheap van with space.,0.0,1.0,7
707,105,229,4.0,John wrote a long letter with bank information for the financial account for the house to his family.,John wrote his family a long letter with bank information for the financial account for the house.,0.0,1.0,8
709,105,217,1.0,John showed the Baroque church building from Italy to his longtime friend with an art history degree.,John showed his longtime friend with an art history degree the Baroque church building from Italy.,1.0,0.0,10
710,105,68,1.0,Melissa presented for the competition a shiny winning trophy with her name.,Melissa presented a shiny winning trophy with her name for the competition.,1.0,0.0,11
711,105,118,1.0,Melissa made for the party a blue vanilla cake with her name in green frosting.,Melissa made a blue vanilla cake with her name in green frosting for the party.,1.0,0.0,12
712,105,261,1.0,Janet went in a big loaded truck from the military to advanced graduate class.,Janet went to advanced graduate class in a big loaded truck from the military.,1.0,0.0,13
714,105,14,4.0,Melissa gave to the team a shiny gold trophy with her name for her performance.,Melissa gave a shiny gold trophy with her name for her performance to the team.,0.0,1.0,15
715,105,163,3.0,John made a grand hearty celebratory feast of pie from the farm for the homeless man on the street.,John made the homeless man on the street a grand hearty celebratory feast of pie from the farm.,0.0,1.0,16
716,105,386,7.0,John worked out the revised schedule for his employees in the team.,John worked the revised schedule for his employees in the team out.,0.0,1.0,17
717,105,4,4.0,Melissa prepared in her kitchen a wrapped birthday present with red ribbon in a white box.,Melissa prepared a wrapped birthday present with red ribbon in a white box in her kitchen.,0.0,1.0,18
719,105,58,1.0,Melissa took at the college courses for her graduate program on astronomy under the famous professor.,Melissa took courses for her graduate program on astronomy under the famous professor at the college.,1.0,0.0,20
720,105,211,6.0,John built an automated app for the injured homeless citizens in a city.,John built the injured homeless citizens in a city an automated app.,1.0,0.0,21
